species,yolo_confidence,recent_detections,historical_conflicts,settlement_proximity,temporal_pattern,environmental_context,spatial_relationship,risk_score
Wild Boar,63.26,1,0,2,1,2,1,43.06
Spotted Deer,68.23,19,0,1,0,2,2,48.9
Leopard,89.35,4,6,1,0,2,1,60.33
Spotted Deer,62.0,16,3,1,1,0,0,37.54
Spotted Deer,79.21,12,3,1,2,0,0,44.0
Tiger,77.24,13,2,1,0,0,2,52.0
Leopard,73.04,17,1,2,1,2,1,70.2
Leopard,75.39,8,5,1,2,1,1,60.41
Leopard,80.67,13,2,1,1,0,0,43.99
Spotted Deer,66.29,20,5,1,0,2,0,59.07
Wild Boar,82.31,5,5,1,1,2,2,64.15
Leopard,91.41,18,5,0,1,2,0,60.23
Spotted Deer,89.65,15,2,0,1,2,0,42.5
Tiger,66.0,12,0,0,0,2,1,34.89
Wild Boar,65.82,17,3,0,2,2,1,59.75
Tiger,70.46,15,0,2,2,0,1,55.51
Wild Boar,74.08,2,1,0,2,1,0,30.05
Spotted Deer,75.93,6,2,2,2,0,2,51.4
Asian Elephant,86.51,17,1,0,0,0,2,42.24
Wild Boar,62.21,16,3,2,1,2,0,63.62
Tiger,61.35,17,3,0,2,0,2,59.69
Spotted Deer,75.28,20,4,1,2,1,0,62.54
Wild Boar,87.19,9,1,0,0,1,2,37.3
Asian Elephant,67.54,5,0,0,1,2,0,30.76
Asian Elephant,85.02,1,6,0,1,1,1,46.43
Leopard,70.13,6,1,1,2,2,2,60.03
Leopard,94.56,14,2,2,2,1,1,67.23
Tiger,94.93,17,3,2,1,1,1,74.93
Wild Boar,71.59,19,3,1,0,0,2,56.45
Wild Boar,68.97,1,1,0,1,1,0,23.28
Leopard,76.04,1,1,0,1,2,1,34.92
Wild Boar,69.38,13,5,0,2,1,1,57.14
Wild Boar,86.22,14,1,2,0,1,0,47.57
Asian Elephant,92.22,6,5,2,0,0,0,47.99
Leopard,86.25,6,2,1,0,2,2,52.48
Spotted Deer,92.15,1,2,1,2,2,2,55.26
Leopard,75.48,14,0,2,0,2,0,49.53
Spotted Deer,66.1,3,1,0,0,0,1,15.05
Asian Elephant,88.78,10,0,0,2,1,0,36.64
Tiger,74.06,19,6,0,1,2,2,78.17
Wild Boar,86.18,19,4,0,0,1,1,51.13
Asian Elephant,70.56,19,2,1,1,1,1,61.22
Wild Boar,63.17,4,3,1,0,1,2,46.19
Tiger,98.71,20,5,2,1,0,1,81.35
Tiger,66.09,19,4,1,1,1,0,59.73
Asian Elephant,98.55,10,3,0,2,0,2,56.39
Tiger,98.11,2,4,2,2,0,1,63.51
Spotted Deer,90.96,4,0,1,0,0,2,27.64
Tiger,85.72,6,0,1,0,2,1,46.18
Wild Boar,82.53,7,5,1,2,0,0,51.88
Wild Boar,93.78,16,2,1,0,2,2,64.24
Wild Boar,71.29,7,6,1,0,0,1,45.41
Wild Boar,78.24,18,5,0,2,0,0,52.58
Spotted Deer,84.16,20,6,0,1,0,0,51.28
Leopard,76.04,19,3,0,0,0,0,42.4
Asian Elephant,76.67,9,4,1,2,1,1,62.88
Wild Boar,72.88,20,5,2,0,1,1,68.42
Tiger,82.01,10,6,0,0,0,0,48.37
Wild Boar,93.17,13,1,0,2,1,0,42.0
Tiger,67.86,18,1,1,2,2,0,60.01
Tiger,96.44,16,2,2,0,1,0,57.79
Wild Boar,86.87,17,6,0,0,1,0,49.78
Spotted Deer,92.11,13,5,0,1,1,1,47.29
Tiger,81.69,12,3,2,1,0,2,66.55
Tiger,90.4,10,1,1,2,2,2,63.62
Wild Boar,60.63,1,2,2,0,0,2,40.38
Tiger,91.92,8,5,1,2,2,1,75.23
Tiger,61.57,18,2,0,2,0,2,57.62
Wild Boar,94.71,2,3,2,0,1,2,53.54
Wild Boar,98.69,16,1,2,1,2,2,68.21
Asian Elephant,71.47,12,1,0,2,1,2,53.5
Spotted Deer,68.2,9,1,0,2,2,0,40.28
Spotted Deer,89.85,3,6,1,0,2,1,55.14
Tiger,69.87,4,0,0,1,0,2,29.6
Spotted Deer,93.76,2,6,0,1,0,0,34.17
Tiger,64.01,8,1,2,0,1,2,53.28
Asian Elephant,64.91,10,4,1,2,1,2,65.67
Wild Boar,98.19,16,0,0,0,2,2,47.95
Wild Boar,86.28,11,5,2,0,2,2,77.37
Wild Boar,93.03,18,6,0,1,0,2,64.45
Spotted Deer,72.65,14,0,0,2,0,0,27.73
Asian Elephant,86.38,8,0,0,2,0,2,41.98
Spotted Deer,83.18,15,6,0,1,0,0,43.34
Spotted Deer,83.52,17,6,1,2,0,2,69.08
Asian Elephant,86.62,18,0,2,2,2,1,73.39
Asian Elephant,82.44,6,2,2,0,2,0,50.92
Asian Elephant,76.73,14,4,0,0,1,2,58.68
Asian Elephant,70.76,3,3,2,0,2,0,49.91
Wild Boar,89.97,7,1,0,2,0,2,38.68
Leopard,68.82,15,6,2,2,2,2,86.96
Leopard,87.0,16,0,1,2,2,0,57.97
Asian Elephant,69.1,16,3,1,2,2,2,72.58
Leopard,84.39,8,6,2,1,1,2,72.86
Leopard,89.14,7,2,0,1,1,2,45.37
Asian Elephant,68.53,6,3,0,2,2,2,59.09
Leopard,62.34,2,0,0,0,2,2,30.56
Spotted Deer,65.11,13,5,0,0,0,2,41.64
Tiger,83.63,12,4,1,1,1,0,60.29
Tiger,93.13,15,3,0,1,0,1,53.33
Asian Elephant,61.75,9,6,0,2,0,2,62.56
Wild Boar,88.63,2,0,0,2,2,0,35.37
Asian Elephant,73.31,17,6,0,2,2,1,75.82
Wild Boar,78.66,5,0,1,2,2,0,40.39
Tiger,96.23,11,1,2,2,0,1,62.3
Asian Elephant,72.95,19,5,2,0,0,1,69.76
Spotted Deer,78.15,7,1,0,0,0,1,24.37
Leopard,60.53,2,5,0,2,2,0,48.08
Wild Boar,63.18,16,4,2,0,2,1,65.76
Leopard,70.09,12,1,1,2,2,2,61.36
Leopard,61.09,15,4,1,2,0,2,66.93
Asian Elephant,84.62,1,6,1,1,0,1,50.32
Leopard,76.63,13,2,1,0,1,1,48.51
Spotted Deer,81.38,6,2,1,0,2,2,44.15
Leopard,66.81,13,5,1,1,0,0,51.72
Asian Elephant,71.54,18,5,1,0,1,0,59.52
Spotted Deer,85.89,3,1,1,1,0,2,35.69
Tiger,97.65,1,2,1,0,0,0,33.47
Leopard,61.97,15,3,0,2,2,0,51.5
Asian Elephant,94.72,13,3,1,1,1,1,59.72
Tiger,82.5,5,6,0,2,0,0,48.94
Tiger,81.99,13,3,2,2,1,2,75.85
Wild Boar,79.51,5,6,0,0,1,0,38.0
Spotted Deer,62.71,19,2,2,1,2,1,62.23
Leopard,63.51,18,3,0,2,1,2,63.15
Asian Elephant,83.44,10,4,2,2,2,2,82.14
Wild Boar,73.3,8,0,0,1,2,2,43.46
Spotted Deer,95.77,15,5,0,0,2,1,54.91
Wild Boar,75.86,20,1,2,2,1,2,72.68
Spotted Deer,65.59,4,6,1,0,0,1,40.37
Spotted Deer,87.87,2,4,1,1,2,1,50.76
Leopard,71.44,6,3,1,0,0,0,29.75
Spotted Deer,80.49,3,0,1,1,1,2,36.01
Wild Boar,87.22,7,1,1,0,0,0,28.96
Spotted Deer,95.11,10,4,0,0,0,0,34.41
Leopard,90.9,6,1,1,2,2,1,52.57
Leopard,86.38,16,6,0,0,2,0,56.09
Wild Boar,86.51,2,6,2,2,2,0,62.86
Tiger,96.89,17,5,1,1,1,0,65.11
Tiger,71.54,13,2,1,1,0,2,55.34
Spotted Deer,60.04,1,6,1,2,1,0,45.06
Asian Elephant,70.61,6,3,1,0,1,1,43.37
Spotted Deer,68.5,5,4,0,1,1,2,42.47
Wild Boar,85.81,13,4,0,1,1,1,52.81
Wild Boar,84.71,18,0,0,1,2,2,53.19
Wild Boar,83.14,12,0,2,2,0,2,57.02
Wild Boar,60.63,7,0,0,1,2,2,39.89
Wild Boar,88.42,15,1,1,1,2,1,52.81
Leopard,72.62,3,3,2,1,1,0,48.88
Tiger,85.94,16,1,2,1,2,2,74.51
Wild Boar,81.71,1,3,1,2,0,1,43.27
Asian Elephant,73.37,16,4,1,2,1,2,72.38
Asian Elephant,65.25,12,6,1,0,2,0,59.76
Asian Elephant,63.68,19,6,1,1,1,2,77.78
Asian Elephant,92.43,8,1,0,2,0,1,43.71
Leopard,95.82,12,1,2,0,1,2,55.54
Asian Elephant,85.34,15,1,1,0,2,1,55.23
Wild Boar,64.03,2,2,0,1,2,0,33.62
Spotted Deer,75.68,17,5,1,0,0,0,43.64
Asian Elephant,88.43,7,3,0,2,0,2,50.29
Leopard,90.41,13,6,1,0,1,0,58.95
Leopard,64.61,1,3,1,0,2,1,47.11
Asian Elephant,60.0,6,1,1,2,0,2,51.18
Spotted Deer,87.77,13,2,0,0,0,1,28.69
Asian Elephant,73.91,11,1,1,0,2,2,53.01
Leopard,69.92,10,3,0,0,0,1,35.67
Tiger,60.5,16,5,0,0,0,2,55.84
Wild Boar,81.07,20,6,2,1,2,1,85.1
Leopard,93.19,17,5,0,1,0,1,55.03
Asian Elephant,97.35,17,4,0,2,2,2,73.14
Wild Boar,82.06,4,2,0,0,2,1,32.41
Asian Elephant,80.06,5,5,0,2,1,0,45.2
Asian Elephant,63.32,14,2,0,1,2,1,47.96
Tiger,81.41,20,1,2,0,0,2,65.4
Wild Boar,74.82,10,4,1,0,1,0,46.15
Wild Boar,83.68,14,3,2,1,1,0,60.14
Tiger,75.16,1,5,2,0,0,1,51.16
Leopard,69.37,11,5,1,0,1,1,55.29
Asian Elephant,63.7,18,0,0,1,0,1,37.94
Spotted Deer,72.28,16,6,1,2,1,0,59.9
Asian Elephant,63.77,18,3,0,2,0,0,49.78
Asian Elephant,66.9,8,5,1,0,2,0,54.76
Leopard,98.51,10,5,2,1,2,2,78.3
Asian Elephant,77.32,10,3,0,2,1,2,54.92
Tiger,80.74,5,4,2,2,1,1,68.7
Tiger,94.07,10,2,0,0,2,2,53.72
Wild Boar,98.83,18,3,1,2,0,2,68.94
Spotted Deer,82.73,6,2,1,1,1,1,43.91
Asian Elephant,91.69,3,4,1,2,2,1,60.78
Asian Elephant,72.75,8,4,1,1,1,0,50.3
Leopard,71.92,9,1,1,1,2,0,43.36
Tiger,75.71,5,0,2,0,2,1,47.16
Spotted Deer,86.23,2,4,2,2,2,1,60.84
Wild Boar,86.61,2,4,0,0,0,2,38.63
Tiger,72.29,7,2,2,2,1,2,69.45
Wild Boar,65.2,17,4,0,0,0,2,47.85
Leopard,84.66,10,3,0,0,0,1,32.85
Leopard,65.0,12,1,2,0,2,1,55.76
Asian Elephant,82.56,2,1,2,2,0,0,43.97
Spotted Deer,87.04,10,3,0,0,1,2,39.6
Wild Boar,87.32,20,5,2,1,1,0,73.83
Tiger,89.39,1,4,2,2,2,1,68.2
Leopard,94.04,4,6,2,1,2,2,79.02
Asian Elephant,79.5,13,0,1,0,1,0,38.48
Asian Elephant,88.48,12,4,1,0,1,1,53.56
Wild Boar,84.15,11,1,0,1,2,0,38.71
Leopard,67.28,10,0,2,0,0,2,45.22
Spotted Deer,61.0,15,6,0,2,1,0,53.73
Leopard,71.1,5,5,2,1,2,0,64.16
Wild Boar,77.28,17,2,1,2,2,1,67.7
Wild Boar,84.07,5,2,2,2,1,2,61.27
Leopard,93.15,2,6,2,2,2,0,71.37
Wild Boar,67.65,9,4,2,0,1,1,58.53
Leopard,64.9,6,4,1,0,2,2,54.42
Tiger,97.58,18,0,1,1,2,1,61.1
Leopard,64.21,14,0,1,1,0,2,42.73
Leopard,78.66,19,5,0,2,2,1,70.8
Wild Boar,82.84,14,4,2,0,1,1,62.67
Wild Boar,81.11,8,1,1,0,1,1,34.31
Asian Elephant,63.36,17,2,0,0,0,0,34.97
Asian Elephant,62.22,3,5,1,1,1,0,46.51
Tiger,64.11,10,0,2,0,2,1,52.4
Asian Elephant,82.84,17,1,0,2,0,2,50.92
Leopard,81.23,11,4,1,2,1,1,63.35
Wild Boar,69.12,8,3,1,2,2,0,57.03
Asian Elephant,84.87,1,0,0,0,0,2,23.39
Asian Elephant,91.98,13,5,0,2,2,0,59.34
Tiger,61.62,4,3,0,2,1,1,48.64
Tiger,79.43,7,1,0,1,1,0,35.91
Leopard,86.88,14,6,0,1,1,0,56.63
Wild Boar,69.84,5,2,1,0,1,0,33.56
Tiger,72.0,11,6,0,0,0,1,49.7
Asian Elephant,83.93,17,6,0,0,1,0,58.35
Wild Boar,95.02,5,6,2,0,0,1,57.99
Wild Boar,91.59,20,1,1,0,0,1,45.97
Asian Elephant,82.74,3,2,2,1,2,0,55.57
Tiger,88.48,5,1,1,1,1,2,55.12
Asian Elephant,74.23,15,6,1,1,2,0,71.14
Wild Boar,85.0,19,0,1,2,2,0,57.52
Spotted Deer,78.18,16,6,0,2,2,0,59.62
Spotted Deer,67.41,8,0,2,1,2,2,53.32
Leopard,87.37,13,5,1,1,2,2,75.45
Asian Elephant,81.7,16,6,1,0,1,1,66.23
Asian Elephant,73.99,3,3,1,1,2,2,58.69
Leopard,95.54,1,1,2,0,0,2,43.06
Leopard,60.82,9,6,1,1,0,0,51.7
Leopard,72.32,9,1,2,0,1,1,49.98
Wild Boar,62.22,17,6,2,1,0,1,66.62
Asian Elephant,89.89,2,3,0,0,2,2,43.78
Wild Boar,87.38,9,6,1,2,0,2,65.19
Leopard,72.92,19,4,1,2,2,0,74.37
Asian Elephant,86.35,13,5,2,0,1,2,74.31
Wild Boar,75.44,5,1,2,0,0,2,43.77
Wild Boar,89.49,9,5,0,2,0,1,53.71
Leopard,77.71,13,1,1,1,0,2,48.01
Asian Elephant,76.08,1,1,2,0,1,0,32.32
Leopard,96.45,15,4,1,1,1,1,64.38
Asian Elephant,69.78,4,6,1,2,0,1,59.55
Spotted Deer,64.7,4,0,1,2,1,2,39.71
Tiger,82.8,20,5,2,0,2,0,73.85
Tiger,97.8,10,3,1,1,1,1,57.54
Tiger,74.74,6,5,2,2,0,0,59.2
Leopard,62.42,12,6,0,1,2,0,55.09
Spotted Deer,73.23,20,4,0,2,0,2,55.71
Asian Elephant,79.73,16,2,2,0,0,0,50.49
Wild Boar,66.31,3,2,1,1,0,1,33.88
Asian Elephant,85.67,14,4,0,1,1,2,61.89
Wild Boar,98.91,1,6,0,0,0,1,36.04
Asian Elephant,77.62,10,4,2,0,2,0,61.1
Spotted Deer,73.83,15,0,2,0,2,0,44.7
Wild Boar,75.63,7,5,2,0,2,2,68.46
Leopard,64.49,4,6,2,2,0,2,69.65
Asian Elephant,94.45,14,5,2,1,2,1,81.37
Asian Elephant,76.18,16,2,2,2,2,1,76.4
Wild Boar,75.1,14,6,2,0,2,0,69.02
Leopard,85.73,3,3,1,2,2,2,63.39
Leopard,77.24,17,5,1,2,1,0,66.04
Spotted Deer,85.28,14,1,1,1,0,0,37.78
Leopard,62.4,18,1,1,1,0,1,46.75
Leopard,91.74,3,0,0,1,2,1,35.48
Leopard,96.68,19,6,1,0,0,1,63.48
Tiger,85.3,3,0,0,0,2,2,36.48
Spotted Deer,97.23,12,6,0,1,2,1,59.14
Asian Elephant,65.91,5,2,0,2,2,2,51.96
Wild Boar,78.62,10,3,2,1,0,0,47.76
Asian Elephant,83.47,9,3,0,0,1,2,47.05
Spotted Deer,82.69,1,4,0,2,0,1,35.56
Wild Boar,75.66,13,0,0,0,0,2,30.92
Spotted Deer,73.19,3,6,2,1,1,2,67.27
Leopard,64.95,19,5,1,1,0,1,63.47
Wild Boar,75.28,11,1,1,2,1,1,51.03
Leopard,66.34,16,5,0,1,2,0,56.13
Asian Elephant,88.64,6,1,0,0,1,2,38.28
Asian Elephant,68.14,3,2,1,0,2,0,38.69
Wild Boar,62.28,19,1,1,0,1,0,42.12
Wild Boar,81.54,6,5,1,2,2,2,72.77
Spotted Deer,83.21,8,5,1,0,0,0,34.74
Spotted Deer,94.0,13,3,0,1,1,2,49.6
Leopard,82.5,12,6,0,2,0,0,55.31
Wild Boar,73.47,10,3,0,0,2,0,36.93
Asian Elephant,91.32,3,0,1,0,1,2,36.42
Spotted Deer,81.07,4,5,2,1,1,1,55.33
Spotted Deer,63.09,1,6,1,1,1,2,53.98
Asian Elephant,82.07,13,2,1,2,0,1,53.25
Spotted Deer,95.41,4,1,2,0,2,2,49.16
Leopard,75.46,11,0,2,0,0,2,47.82
Wild Boar,71.56,19,4,1,1,1,1,62.16
Asian Elephant,65.6,11,4,2,2,2,1,74.17
Wild Boar,65.91,12,6,2,1,2,2,78.45
Spotted Deer,76.88,11,1,2,1,0,2,48.36
Spotted Deer,83.23,6,1,1,2,0,2,40.49
Asian Elephant,63.14,12,6,1,0,1,1,59.39
Leopard,96.64,9,1,2,0,1,2,58.16
Tiger,89.45,10,3,0,0,1,1,48.94
Asian Elephant,82.88,3,1,2,2,1,0,51.77
Tiger,92.31,3,4,2,2,2,1,72.75
Tiger,63.13,20,1,1,2,1,0,61.55
Leopard,78.6,16,5,0,2,1,2,73.66
Tiger,84.57,3,6,2,2,1,2,78.51
Tiger,92.32,10,2,0,1,0,1,40.83
Leopard,90.56,11,4,1,0,0,0,47.37
Tiger,70.81,8,2,0,2,0,2,45.65
Tiger,96.69,6,4,1,0,1,2,56.76
Tiger,64.85,20,0,2,2,2,0,63.46
Asian Elephant,94.13,11,5,1,0,1,2,66.0
Asian Elephant,97.87,12,4,0,1,0,2,50.56
Asian Elephant,66.91,16,5,0,0,0,1,50.54
Leopard,88.16,18,4,0,0,1,2,62.56
Spotted Deer,61.57,13,2,2,2,2,0,61.32
Tiger,75.81,3,2,0,0,2,2,41.16
Tiger,80.14,15,6,0,1,2,1,65.85
Leopard,82.65,14,4,0,1,0,2,52.95
Tiger,96.5,18,4,1,1,0,0,62.27
Asian Elephant,86.22,14,3,0,2,2,2,69.77
Spotted Deer,78.77,5,5,1,2,1,0,50.9
Wild Boar,91.58,14,5,0,2,2,1,67.77
Tiger,97.07,8,5,1,2,1,2,78.64
Asian Elephant,60.86,15,5,1,2,0,2,68.32
Wild Boar,98.32,15,0,2,1,0,1,50.36
Spotted Deer,63.36,19,0,2,0,0,0,35.05
Wild Boar,91.76,20,1,1,1,2,0,57.77
Asian Elephant,70.93,6,4,1,2,2,2,67.88
Wild Boar,65.16,19,4,2,1,0,0,61.64
Leopard,77.15,8,4,1,0,0,0,39.13
Wild Boar,85.11,6,4,2,2,0,2,65.81
Tiger,74.86,20,5,2,1,2,0,79.8
Tiger,62.13,15,5,0,1,2,0,58.61
Leopard,83.38,3,0,0,0,0,2,24.86
